secs,id,cpu_per,cpu_mem,gpu_mem,gpu_per,generation_throughput,prompt_eval_throughput
1931,complex_40,349.4988066825806,1041.34375,2109.578125,0.0,2.69,8.04
1932,complex_40,349.4988066825806,1041.34375,2109.578125,0.0,2.69,8.04
1933,complex_40,351.1617312072922,1041.34375,2109.578125,0.0,2.69,8.04
1934,complex_40,351.1617312072922,1041.34375,2109.578125,0.0,2.69,8.04
1935,complex_40,352.461873638347,1041.34375,2109.578125,22.6,2.69,8.04
1936,complex_40,352.461873638347,1041.34375,2109.578125,22.6,2.69,8.04
1937,complex_40,353.77870563674594,1041.34375,2109.578125,0.0,2.69,8.04
1938,complex_40,353.77870563674594,1041.34375,2109.578125,0.0,2.69,8.04
1939,complex_40,355.03006012024304,1041.34375,2109.578125,0.0,2.69,8.04
1940,complex_40,355.03006012024304,1041.34375,2109.578125,0.0,2.69,8.04
1941,complex_40,356.03082851638015,1041.34375,2109.578125,0.0,2.69,8.04
1942,complex_40,356.03082851638015,1041.34375,2109.578125,0.0,2.69,8.04
1943,complex_40,357.0686456400766,1041.34375,2109.578125,0.0,2.69,8.04
